book_title,price,publisher,no_of_pages,isbn,genre,rating,author,book_summary,images
"Death; An Inside Story (English, Paperback, Sadhguru)",239,Penguin Ananda,376,"9780143450832, 9780143450832",Healthy Living and Wellness Books,4.7,Sadhguru,NA,results\images\Healthy Living and Wellness Books\1.1.jpeg
"Rich Dad Poor Dad (English, Paperback, Kiyosaki Robert T.)",359,Plata Publishing,336,"9781612680194, 9781612680194",Healthy Living and Wellness Books,4.4,Kiyosaki Robert T.,"Summary of the BookRich Dad Poor Dad is a book written by Robert Kiyasaki that focuses on financial literacy, financial independence, building wealth by investing in financial assets and increasing one’s financial intelligence. The author presents six essential lessons through this book which are - The rich don’t work for money, The importance of financial literacy, minding your own business, taxes and corporations, the rich invent money and the need to work to learn and not for money. You can buy this book online and gain insight into the experience and tips from Robert Kiyasaki in this book. About the BookRobert Toru Kiyosaki is an American businessman and author. He was born on the 8th of April 1947. He is the founder of Global LLC and the Rich Dad Company. He is also popularly known as the author of the bestseller, Rich Dad Poor Dad. His works have challenged the way people think about money and investments. He discusses personal finance in depth via videos. His first work was published in 1997. Some of his recent works include Why the Rich are Getting Richer and More Important than Money.",results\images\Healthy Living and Wellness Books\2.1.jpeg
"You are the Best Wife (English, Paperback, Pandey Ajay K.)",114,Srishti Publishers & Distributors,248,"9789382665540, 9789382665540",Healthy Living and Wellness Books,4.5,Pandey Ajay K.,NA,results\images\Healthy Living and Wellness Books\3.1.jpeg
"MEN ARE FROM MARS, WOMEN ARE FROM VENUS (English, Paperback, John Gray)",245,NA,384,"9788172235031, 8172235038",Healthy Living and Wellness Books,4.4,John Gray," Men are From Mars, Women are From Venus is a definitive guide to relationships by bestselling author, John Gray. Summary of the Book Men Are From Mars, Women Are from Venus will help couples transform their relationships and live a peaceful and blissful life together. The book covers age-old problems that are still relevant today as they were when this book was first published. This book will help you understand the opposite sex better and communicate effectively and lovingly with your partner. Offering straight-forward and honest advice from the male perspective, the author unlocks the secrets hidden in your partner’s words and actions. This book will make for an engaging and very helpful read. About John Gray John Gray is an American author, relationship counselor and lecturer. He has penned down books like Mars and Venus on a Date, What You Feel You Can Heal and Men and Women and Relationships.",results\images\Healthy Living and Wellness Books\4.1.jpeg
"The Subtle Art of Not Giving a F*ck - A Counterintuitive Approach to Living a Good Life (English, Paperback, Mark Manson)",449,NA,224,"9780062641540, 0062641549",Healthy Living and Wellness Books,4.6,Mark Manson,"Summary of the Book This is a bestselling self-help book for the millennials that addresses the wide-spread culture of mindless positivity which is beyond practical or remotely helpful for most people. Manson focuses on accepting flaws, understanding pain and how much one can tolerate, and on stop being delusional. The author uses his own experiences, honesty, and he even uses profanity to explain his point of views in a way that it is, both, interesting and hilarious. About the Author Mark Manson is an American author who is mainly known for his self-help books. For the millennial soul, he will be more familiar as the author of the bestselling book - The Subtle Art of Not Giving a F*ck. This book has appeared in the New York Times list of bestselling books. His other popular work is Models: Attract Women Through Honesty. Mark Manson is also an entrepreneur. He is the founder of Infinity Squared Media LLC. Mark Manson’s blog, markmanson.net, is also extremely popular. In this blog, he writes about various topics related to dating, relationships, life choices, and psychology. ",results\images\Healthy Living and Wellness Books\5.1.jpeg
"Emotion & Relationships (English, Paperback, Vasudev Sadhguru Jaggi)",200,Jaico Publishing House,224,"9789386867506, 9789386867506",Healthy Living and Wellness Books,4.6,Vasudev Sadhguru Jaggi,NA,results\images\Healthy Living and Wellness Books\6.1.jpeg
"Awaken The Giant Within (English, Paperback, Robbins Tony)",419,Simon & Schuster,544,"9780743409384, 9780743409384",Healthy Living and Wellness Books,4.5,Robbins Tony," Awaken The Giant Within is a book that falls under the self-help genre, and the initial edition was written by Anthony Robbins in 1992. This is the revised edition, and was published in 2001. The book covers topics such as goal setting, relationships, and personal finance. It showcases the most effective methods and techniques that can be implemented towards mastering emotions and taking control of one’s life altogether. The book introduces a step-by-step programme towards bettering one’s emotional, financial, and mental status. It utilizes techniques such as Neuro-Linguistic Programming (NLP) for this purpose, and helps its readers train their minds to think creatively, productively, and positively. The book focuses on positive change and how to achieve the same by hiking up the quality of various aspects of one’s life. Anthony Robbins is a famous American author and motivational speaker, and his work has been featured in popular magazines like Time, Newsweek, Fortune, Tycoon, Forbes, Vanity Fair, and Business Week. Robbins was ranked among the Top 50 Business Intellectuals in the World and the Top 200 Business gurus. His programmes have reached more than 4 million people from close to 100 countries from around the world. He has also been mentioned or featured in 15 major motion pictures. Robbins was born in North Hollywood, California, on February 29, 1960. His other popular books are Unlimited Power, Notes From a Friend, Giant Steps: Small Changes to Make A Big Difference, and Slow Burn: Burn Fat Faster By Exercising Slower.","results\images\Healthy Living and Wellness Books\7.1.jpeg, results\images\Healthy Living and Wellness Books\7.2.jpeg, results\images\Healthy Living and Wellness Books\7.3.jpeg"
"What to Expect When You're Expecting 5th Edition (English, Paperback, Murkoff Heidi E.)",419,Simon & Schuster Ltd,656,"9781471147531, 9781471147531",Healthy Living and Wellness Books,4.5,Murkoff Heidi E.,"With 18.5 million copies in print, What to Expect When You're Expecting is read by 93% of women who read a pregnancy book and was named one of the 'Most Influential Books of the Last 25 Years' by USA Today. This cover-to-cover (including the cover!) new edition is filled with must-have information, advice, insight, and tips for a new generation of parents. With What to Expect's trademark warmth, empathy, and humour, it answers every conceivable question expectant parents could have, including dozens of new ones based on the ever-changing pregnancy and birthing practices and choices they face. Advice for partners is fully integrated throughout the book. All medical coverage is completely updated, including the latest on prenatal screening and the safety of medications during pregnancy, as well as a brand-new section on postpartum birth control. Current lifestyle trends are incorporated, too: juice bars, raw diets, e-cigarettes, push presents, baby bump posting, the lowdown on omega-3 fatty acids, grass-fed and organic, health food fads, and GMOs. Plus expanded coverage of IVF pregnancy, multiple pregnancies, breastfeeding while pregnant, water and home births, and cesarean trends (including VBACs and 'gentle cesareans').","results\images\Healthy Living and Wellness Books\8.1.jpeg, results\images\Healthy Living and Wellness Books\8.2.jpeg"
"Pregnancy Notes: Before, During & After (English, Paperback, Diwekar Rujuta)",199,Westland Publications Limited,220,"9789386224897, 9789386224897",Healthy Living and Wellness Books,4.3,Diwekar Rujuta,NA,results\images\Healthy Living and Wellness Books\9.1.jpeg
"Don't Lose Your Mind, Lose Your Weight - Tamil (English, Paperback, Rujuta Diwekar)",165,Westland,344,"9789385152641, 9789385152641",Healthy Living and Wellness Books,4,Rujuta Diwekar,NA,results\images\Healthy Living and Wellness Books\10.1.jpeg
